Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
Berchem-Sainte-Agathe,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Gent,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Bruxelles,299000,APARTMENT,GROUND_FLOOR,3,140,0,0,0,1,None,1,23,None,2,0,GOOD,For Sale
Ixelles,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Ganshoren,265000,APARTMENT,PENTHOUSE,2,96,1,0,0,1,10,0,None,None,2,0,JUST_RENOVATED,For Sale
Zwijnaarde,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Nazareth,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Ixelles,420000,APARTMENT,APARTMENT,1,73,1,0,0,0,None,0,None,None,2,0,AS_NEW,For Sale
BERCHEM,249000,APARTMENT,APARTMENT,2,100,0,0,0,1,8,0,None,None,None,0,GOOD,For Sale
Deinze,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Lierde,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Zottegem,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Uccle,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Destelbergen,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Gent Sint-Denijs-Westrem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Auderghem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
DEURNE,235000,APARTMENT,APARTMENT,2,90,0,0,0,1,3,0,None,None,2,0,GOOD,For Sale
Sint-Martens-Latem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
BERCHEM,275000,APARTMENT,APARTMENT,2,80,0,0,0,1,18,0,None,None,2,0,JUST_RENOVATED,For Sale
LIER,240000,APARTMENT,APARTMENT,1,69,0,0,0,1,4,1,32,None,2,0,GOOD,For Sale
LIER,349000,APARTMENT,GROUND_FLOOR,2,86,0,0,0,1,15,1,32,None,2,0,JUST_RENOVATED,For Sale
MECHELEN,265000,HOUSE,HOUSE,2,105,0,0,0,1,20,1,65,115,2,0,TO_RENOVATE,For Sale
Evere,230000,APARTMENT,APARTMENT,1,63,1,0,0,1,6,0,None,None,2,0,GOOD,For Sale
MECHELEN,319000,HOUSE,HOUSE,3,132,0,0,0,1,20,1,105,239,2,0,TO_RENOVATE,For Sale
Schoten,299000,APARTMENT,APARTMENT,2,77,0,0,0,1,25,0,None,None,2,0,AS_NEW,For Sale
BERCHEM,215000,APARTMENT,APARTMENT,3,80,0,0,0,1,5,0,None,None,2,0,TO_BE_DONE_UP,For Sale
JEHAY,735000,HOUSE,HOUSE,7,340,1,0,0,1,None,0,None,1300,None,0,None,For Sale
NASSOGNE,249000,HOUSE,HOUSE,3,120,0,0,0,1,15,1,100,320,2,0,JUST_RENOVATED,For Sale
Sint-Idesbald,399000,APARTMENT,APARTMENT,2,81,0,0,0,0,None,0,None,None,4,0,None,For Sale
PITTEM,1995000,HOUSE,COUNTRY_COTTAGE,8,800,0,0,0,1,None,0,None,18262,None,0,GOOD,For Sale
Uccle,649000,HOUSE,HOUSE,5,170,1,0,0,1,15,1,200,300,2,0,AS_NEW,For Sale
Neufchâteau,365000,HOUSE,HOUSE,3,173,0,0,0,1,None,0,None,1463,4,0,None,For Sale
ANZEGEM,365000,HOUSE,HOUSE,3,175,0,0,0,0,None,0,None,421,3,0,AS_NEW,For Sale
TIEGEM,365000,HOUSE,HOUSE,3,175,0,0,0,0,None,0,None,421,3,0,AS_NEW,For Sale
PITTEM,1995000,HOUSE,MIXED_USE_BUILDING,8,800,0,0,0,1,None,0,None,18262,None,0,GOOD,For Sale
Pâturages,145000,HOUSE,HOUSE,2,171,0,0,0,1,None,1,79,150,2,0,TO_BE_DONE_UP,For Sale
Namur,215000,APARTMENT,APARTMENT,2,100,0,0,0,1,2,0,None,None,2,0,GOOD,For Sale
MOLENBEEK-SAINT-JEAN,635000,HOUSE,APARTMENT_BLOCK,5,360,0,0,0,0,None,0,None,155,None,0,None,For Sale
Brugge,550000,HOUSE,MIXED_USE_BUILDING,4,209,0,0,0,1,1,0,None,209,2,0,GOOD,For Sale
Ixelles,1190000,APARTMENT,APARTMENT,3,292,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Amay,349000,HOUSE,VILLA,4,226,0,0,1,1,30,1,1000,1540,4,0,GOOD,For Sale
MOLENBAIX,229000,HOUSE,HOUSE,2,128,0,0,0,0,None,0,None,1410,4,0,None,For Sale
Woluwe-Saint-Lambert,400000,HOUSE,HOUSE,3,114,0,0,0,1,13,0,None,223,3,0,TO_RENOVATE,For Sale
Ixelles,1700000,APARTMENT,PENTHOUSE,3,202,1,0,0,1,140,0,None,None,4,0,GOOD,For Sale
Meulebeke,325000,HOUSE,HOUSE,2,124,0,0,0,1,None,0,None,306,None,0,JUST_RENOVATED,For Sale
Durbuy,390000,HOUSE,HOUSE,3,120,0,0,1,0,None,0,None,940,4,0,AS_NEW,For Sale
Jette,325000,HOUSE,HOUSE,4,206,0,0,0,0,None,1,90,170,None,0,TO_RENOVATE,For Sale
Hoeilaart,870000,HOUSE,VILLA,4,248,0,0,0,1,None,0,None,1648,4,0,AS_NEW,For Sale
TURNHOUT,279000,HOUSE,HOUSE,2,222,0,0,1,1,None,0,None,305,2,0,GOOD,For Sale
Rixensart Rosières,435000,HOUSE,APARTMENT_BLOCK,5,233,0,0,0,1,50,1,560,872,3,0,TO_RENOVATE,For Sale
GEEL,519000,HOUSE,HOUSE,3,242,0,0,0,1,None,0,None,694,4,0,AS_NEW,For Sale
Antwerpen,259000,APARTMENT,APARTMENT,2,84,0,0,0,1,None,0,None,None,None,0,None,For Sale
Antwerpen,135000,APARTMENT,FLAT_STUDIO,0,32,0,0,0,0,None,0,None,None,None,0,None,For Sale
Antwerpen,164000,APARTMENT,APARTMENT,1,47,0,0,0,0,None,0,None,None,None,0,None,For Sale
ESNEUX,399000,HOUSE,HOUSE,4,140,0,0,0,1,65,1,320,719,4,0,TO_BE_DONE_UP,For Sale
Antwerpen,145000,APARTMENT,FLAT_STUDIO,0,43,0,0,0,0,None,0,None,None,None,0,None,For Sale
Sint-Denijs-Westrem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
TURNHOUT,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
LIER,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Oostakker,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Turnhout,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
RONSE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Braine-l'Alleud,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Geraardsbergen Moerbeke,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Bruxelles,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Zulte Machelen,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Deinze,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
ANTWERPEN,349000,APARTMENT,APARTMENT,2,147,1,0,1,1,12,1,158,None,2,0,JUST_RENOVATED,For Sale
WAVRE,645000,HOUSE,APARTMENT_BLOCK,4,173,0,0,0,1,30,1,200,299,3,0,GOOD,For Sale
Herstal,144000,HOUSE,HOUSE,3,100,0,0,0,1,11,1,30,122,2,0,GOOD,For Sale
Rhode-Saint-Genèse,385000,APARTMENT,APARTMENT,2,118,1,0,0,1,15,1,100,None,3,0,AS_NEW,For Sale
Merksem,245000,APARTMENT,APARTMENT,2,104,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
MIDDELKERKE,155000,APARTMENT,FLAT_STUDIO,0,44,0,0,0,1,None,0,None,None,2,0,None,For Sale
Antwerpen,324500,APARTMENT,APARTMENT,1,87,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
BLANKENBERGE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Hamme,189000,HOUSE,HOUSE,3,105,0,0,0,0,None,0,None,88,2,0,AS_NEW,For Sale
Boom,239000,HOUSE,HOUSE,4,180,0,0,0,0,None,0,None,0,4,0,TO_BE_DONE_UP,For Sale
RONSE,265000,HOUSE,MANSION,4,185,0,0,0,1,None,0,None,80,3,0,JUST_RENOVATED,For Sale
Deinze Astene,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Heist-op-den-Berg,1049000,HOUSE,HOUSE,4,None,0,0,0,0,None,0,None,4350,4,0,AS_NEW,For Sale
GEEL,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Etterbeek,765000,HOUSE,HOUSE,5,250,0,0,1,1,4,1,30,0,2,0,GOOD,For Sale
Boutersem,498000,HOUSE,HOUSE,3,120,0,0,0,1,None,0,None,318,4,0,AS_NEW,For Sale
Watermael-Boitsfort,895000,HOUSE,HOUSE,4,220,0,0,1,1,12,1,100,200,2,0,GOOD,For Sale
VILVOORDE,379000,HOUSE,MANSION,5,211,0,0,0,1,15,0,None,114,2,0,GOOD,For Sale
FEXHE-LE-HAUT-CLOCHER,1150000,HOUSE,MIXED_USE_BUILDING,3,850,0,0,0,0,None,0,None,2626,None,0,GOOD,For Sale
Hasselt,425000,HOUSE,HOUSE,2,164,1,0,0,1,None,0,None,233,2,0,None,For Sale
De Panne,139000,APARTMENT,FLAT_STUDIO,0,54,0,0,0,1,16,0,None,None,None,0,GOOD,For Sale
Uccle,615000,APARTMENT,APARTMENT,3,149,0,0,0,1,10,0,None,None,2,0,AS_NEW,For Sale
Denderleeuw Welle,209000,APARTMENT,APARTMENT,2,88,0,0,0,1,None,0,None,None,2,0,GOOD,For Sale
Schoten,1230000,HOUSE,HOUSE,4,432,0,0,0,1,None,1,1150,1740,4,1,AS_NEW,For Sale
Aarschot,273000,HOUSE,MIXED_USE_BUILDING,3,204,0,0,0,1,None,0,None,96,2,0,TO_BE_DONE_UP,For Sale
BERCHEM,219000,APARTMENT,APARTMENT,2,84,0,0,0,1,4,0,None,None,2,0,GOOD,For Sale
KONTICH,250000,APARTMENT,APARTMENT,2,87,0,0,0,1,None,0,None,None,2,0,GOOD,For Sale
Liège,190000,HOUSE,HOUSE,2,90,0,0,0,0,None,1,110,170,2,0,TO_BE_DONE_UP,For Sale
FLÉMALLE-HAUTE,279000,HOUSE,HOUSE,3,130,0,0,0,1,40,1,440,759,3,0,JUST_RENOVATED,For Sale
Bruxelles,740000,APARTMENT,APARTMENT,3,188,1,0,0,1,16,0,None,None,2,0,GOOD,For Sale
RONSE,195000,HOUSE,HOUSE,2,154,0,0,0,1,18,1,116,206,2,0,JUST_RENOVATED,For Sale
Chastre,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Gembloux,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
HORION-HOZÉMONT,378000,HOUSE,HOUSE,3,240,0,0,0,1,None,1,1184,1660,4,0,TO_BE_DONE_UP,For Sale
Namur,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
FOREST,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Evere,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Court-St.-Étienne,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
BERCHEM-SAINTE-AGATHE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Sint-Agatha-Berchem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Ganshoren,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
BRUXELLES,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
ASSE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
MOLENBEEK-SAINT-JEAN,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
JETTE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
ANDERLECHT,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
LIEDEKERKE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
EVERE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Bachte-Maria-Leerne,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Averbode,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Scherpenheuvel-Zichem,485000,HOUSE,HOUSE,3,185,1,0,0,1,None,1,92828,1019,4,0,GOOD,For Sale
Saint-Nicolas,249000,HOUSE,HOUSE,3,124,1,0,0,1,35,1,20,171,3,0,GOOD,For Sale
Scherpenheuvel-Zichem,429000,HOUSE,HOUSE,3,185,0,0,0,0,None,1,841,932,3,0,GOOD,For Sale
Rouvroy,330000,HOUSE,HOUSE,4,140,0,0,0,1,20,1,1000,1250,4,1,GOOD,For Sale
Mol,890000,HOUSE,VILLA,6,498,0,0,0,0,None,0,None,2387,4,0,GOOD,For Sale
TIELT-WINGE,272500,HOUSE,HOUSE,3,109,0,0,0,1,53,0,None,970,4,0,TO_RENOVATE,For Sale
Tournai,398000,APARTMENT,APARTMENT,3,220,0,0,0,0,None,0,None,None,2,0,AS_NEW,For Sale
Oupeye,129000,HOUSE,HOUSE,2,85,0,0,1,1,29,1,175,265,2,0,TO_RENOVATE,For Sale
Wachtebeke,520000,HOUSE,HOUSE,3,209,0,0,0,0,None,0,None,1488,4,0,GOOD,For Sale
Brugge,549500,HOUSE,HOUSE,3,178,1,0,0,1,None,0,None,238,2,0,AS_NEW,For Sale
Londerzeel,395000,HOUSE,HOUSE,3,169,0,0,0,1,None,0,None,1194,4,0,GOOD,For Sale
Londerzeel,437000,HOUSE,TOWN_HOUSE,3,160,0,0,0,1,6,0,None,61,2,0,AS_NEW,For Sale
Gent,240000,APARTMENT,APARTMENT,2,58,1,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Turnhout,285000,APARTMENT,APARTMENT,2,125,0,0,0,1,None,0,None,None,None,1,AS_NEW,For Sale
Uccle,650000,APARTMENT,APARTMENT,3,180,1,0,0,1,28,0,None,None,2,0,TO_BE_DONE_UP,For Sale
Schoten,425000,HOUSE,HOUSE,4,158,0,0,0,0,None,0,None,175,2,0,AS_NEW,For Sale
Anderlecht,139000,APARTMENT,APARTMENT,1,None,0,0,0,1,6,0,None,None,None,0,GOOD,For Sale
Lasne,1480000,HOUSE,VILLA,5,360,0,0,1,1,100,1,3000,3800,4,1,AS_NEW,For Sale
Trooz,379000,HOUSE,HOUSE,4,180,0,0,0,1,32,1,700,1268,4,0,GOOD,For Sale
Liège,270000,HOUSE,HOUSE,3,144,0,0,0,1,32,1,81,234,2,0,AS_NEW,For Sale
Lasne,1290000,HOUSE,VILLA,6,365,1,0,0,1,80,1,6300,4152,4,0,AS_NEW,For Sale
Lede,250000,HOUSE,HOUSE,3,158,0,0,0,1,None,0,None,584,3,0,None,For Sale
Dilsen-Stokkem,549000,APARTMENT,APARTMENT,3,1437,0,0,0,1,None,0,None,None,None,0,None,For Sale
Asse,1300000,APARTMENT,APARTMENT,6,240,1,0,0,1,None,0,None,None,2,0,AS_NEW,For Sale
Hasselt,795000,HOUSE,APARTMENT_BLOCK,7,587,0,0,0,1,46,0,None,669,2,0,AS_NEW,For Sale
Dendermonde,390000,HOUSE,HOUSE,2,249,0,0,0,1,None,0,None,1870,4,0,TO_RENOVATE,For Sale
Schilde,334900,HOUSE,HOUSE,2,131,0,0,0,0,None,0,None,440,3,0,TO_BE_DONE_UP,For Sale
Edegem,404400,APARTMENT,APARTMENT,1,75,0,0,0,1,29,1,1000,None,None,0,None,For Sale
Zoersel,745000,HOUSE,HOUSE,3,220,0,0,0,0,None,0,None,2477,4,0,AS_NEW,For Sale
Ramillies,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Watermael-Boitsfort,330000,APARTMENT,APARTMENT,2,100,0,0,0,1,15,0,None,None,2,0,TO_RENOVATE,For Sale
Grimbergen,325000,APARTMENT,APARTMENT,2,97,0,0,0,0,None,1,100,None,None,0,GOOD,For Sale
BORGERHOUT,439000,HOUSE,HOUSE,3,167,1,0,0,1,5,1,19,80,2,0,JUST_RENOVATED,For Sale
TURNHOUT,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
BRECHT,249000,APARTMENT,APARTMENT,3,94,0,0,0,1,None,0,None,None,None,0,GOOD,For Sale
MINDERHOUT,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Sinsin,229000,HOUSE,HOUSE,4,247,0,0,0,1,30,1,740,740,4,0,TO_BE_DONE_UP,For Sale
Wegnez,249000,HOUSE,TOWN_HOUSE,3,156,0,0,0,1,None,1,20,219,2,0,AS_NEW,For Sale
Heure,285000,HOUSE,HOUSE,4,212,0,0,1,1,20,1,731,731,4,0,GOOD,For Sale
Haren (bruxelles),495000,HOUSE,HOUSE,5,221,1,0,0,1,52,1,120,350,2,0,AS_NEW,For Sale
WILRIJK,319000,HOUSE,HOUSE,2,117,0,0,0,0,None,1,90,153,2,0,TO_BE_DONE_UP,For Sale
Meise,1100000,HOUSE,HOUSE,4,350,0,0,0,0,None,1,2100,2500,4,0,GOOD,For Sale
Chaudfontaine,950000,HOUSE,HOUSE,5,390,0,0,0,1,None,1,1059,1059,4,1,AS_NEW,For Sale
HEMIKSEM,239000,HOUSE,HOUSE,2,98,0,0,0,0,None,1,24,97,2,0,AS_NEW,For Sale
WELLIN,230000,HOUSE,COUNTRY_COTTAGE,2,100,0,0,0,0,None,1,1900,2510,4,0,TO_RENOVATE,For Sale
RUISBROEK,294000,HOUSE,HOUSE,3,148,0,0,0,1,11,1,51,145,2,0,GOOD,For Sale
Woluwe-Saint-Pierre,625000,APARTMENT,APARTMENT,4,155,1,0,0,1,15,0,None,None,3,0,AS_NEW,For Sale
KINROOI,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
BERCHEM,285000,APARTMENT,APARTMENT,2,84,0,0,0,1,15,0,None,None,2,0,GOOD,For Sale
Hasselt,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
AALST,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Knokke-Heist,610000,APARTMENT,APARTMENT,2,55,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
DEURNE,215000,APARTMENT,APARTMENT,2,None,1,0,0,0,None,0,None,None,None,0,None,For Sale
DIEPENBEEK,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
BORGERHOUT,125000,APARTMENT,APARTMENT,1,None,1,0,0,0,None,0,None,None,None,0,None,For Sale
ANTWERPEN,345000,HOUSE,HOUSE,3,None,0,0,0,0,None,0,None,0,None,0,None,For Sale
VOSSELAAR,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
KOERSEL,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
HOBOKEN,189000,APARTMENT,APARTMENT,3,None,1,0,0,0,None,0,None,None,None,0,None,For Sale
EKEREN,295000,HOUSE,HOUSE,3,None,0,0,0,0,None,0,None,0,None,0,None,For Sale
DEURNE,155000,APARTMENT,APARTMENT,2,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
DEURNE,225000,APARTMENT,APARTMENT,2,None,1,0,0,0,None,0,None,None,None,0,None,For Sale
DEURNE,169000,APARTMENT,APARTMENT,2,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
SCHOTEN,269000,APARTMENT,APARTMENT,2,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
ANTWERPEN,259000,HOUSE,HOUSE,3,None,0,0,0,0,None,0,None,0,None,0,None,For Sale
BORGERHOUT,219000,APARTMENT,APARTMENT,2,None,1,0,0,0,None,0,None,None,None,0,None,For Sale
DEURNE,135000,APARTMENT,APARTMENT,2,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
ANTWERPEN,131500,APARTMENT,FLAT_STUDIO,1,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
DEURNE,825000,HOUSE,HOUSE,5,None,0,0,0,0,None,0,None,0,None,0,None,For Sale
KLEIN SINAAI-KERN,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Auderghem,595000,HOUSE,HOUSE,5,208,1,0,0,1,5,1,110,165,2,0,TO_RENOVATE,For Sale
DEURNE,219000,APARTMENT,APARTMENT,2,None,1,0,0,0,None,0,None,None,None,0,None,For Sale
MEISE,475000,HOUSE,HOUSE,3,107,0,0,0,0,None,1,604,0,4,0,None,For Sale
Wellin,269000,HOUSE,HOUSE,3,150,0,0,0,1,1,1,1,437,3,0,AS_NEW,For Sale
Uccle,2000000,HOUSE,HOUSE,6,450,1,0,1,1,50,1,900,1890,4,0,AS_NEW,For Sale
Rhode-Saint-Genèse,2000000,HOUSE,HOUSE,6,450,1,0,1,1,50,1,900,1890,4,0,AS_NEW,For Sale
Arlon,595000,HOUSE,HOUSE,4,223,0,0,0,1,36,1,321,467,2,0,AS_NEW,For Sale
Etterbeek,335000,APARTMENT,GROUND_FLOOR,1,75,0,0,0,0,None,0,None,None,3,0,None,For Sale
Sint-Truiden,165000,APARTMENT,APARTMENT,2,70,0,0,0,0,None,0,None,None,None,0,None,For Sale
Waregem,265000,APARTMENT,APARTMENT,1,61,0,0,0,1,19,0,None,None,2,0,None,For Sale
HEIST-AAN-ZEE,420000,APARTMENT,APARTMENT,2,89,0,0,0,1,None,0,None,None,None,0,JUST_RENOVATED,For Sale
ZELZATE,155000,HOUSE,HOUSE,3,None,0,0,0,0,None,0,None,0,2,0,TO_RENOVATE,For Sale
Linter,138000,HOUSE,HOUSE,2,101,0,0,0,0,None,0,None,540,None,0,None,For Sale
Hautrage,422000,HOUSE,HOUSE,3,175,0,0,0,0,None,0,None,603,None,0,GOOD,For Sale
POEDERLEE,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Oostmalle,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Kortrijk,235000,HOUSE,HOUSE,3,160,0,0,0,1,None,1,75,220,2,0,TO_BE_DONE_UP,For Sale
BLANKENBERGE,235000,APARTMENT,APARTMENT,2,55,0,0,0,1,None,0,None,None,2,0,GOOD,For Sale
Mouscron,225000,HOUSE,HOUSE,4,140,0,0,0,1,None,0,None,150,None,0,GOOD,For Sale
PAAL,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Uccle,329000,APARTMENT,APARTMENT,3,90,0,0,0,1,13,0,None,None,2,0,TO_BE_DONE_UP,For Sale
GELRODE,245000,HOUSE,HOUSE,2,146,0,0,0,1,12,1,48,132,2,0,GOOD,For Sale
Kortrijk,895000,HOUSE,VILLA,3,400,1,0,0,1,80,1,900,1980,4,1,GOOD,For Sale
Seraing,169000,HOUSE,HOUSE,4,118,0,0,0,1,19,1,140,275,2,0,GOOD,For Sale
Schaerbeek,460000,APARTMENT,APARTMENT,3,153,1,0,0,0,None,0,None,None,None,0,TO_BE_DONE_UP,For Sale
Rixensart,545000,HOUSE,HOUSE,5,200,0,0,0,1,None,0,None,635,4,0,TO_BE_DONE_UP,For Sale
ANTWERPEN,485000,APARTMENT,GROUND_FLOOR,2,158,0,0,0,1,20,0,None,None,None,0,TO_BE_DONE_UP,For Sale
Rhode-Saint-Genèse,399000,HOUSE,HOUSE,3,150,0,0,0,1,10,1,271,372,3,0,GOOD,For Sale
WILRIJK,285000,HOUSE,HOUSE,2,136,0,0,0,1,30,1,330,424,2,0,TO_RENOVATE,For Sale
Gent,289000,HOUSE,HOUSE,2,100,0,0,0,1,10,1,150,231,4,0,GOOD,For Sale
WILLEBROEK,224000,APARTMENT,APARTMENT,1,54,0,0,0,1,12,0,None,None,2,0,GOOD,For Sale
HUY,245000,APARTMENT,APARTMENT,2,86,0,0,0,1,9,0,None,None,4,0,GOOD,For Sale
Wilrijk,334000,APARTMENT,APARTMENT,2,90,0,0,0,0,None,0,None,None,None,0,AS_NEW,For Sale
DUFFEL,279000,APARTMENT,APARTMENT,1,87,0,0,0,1,7,0,None,None,2,0,JUST_RENOVATED,For Sale
Paliseul,229000,HOUSE,HOUSE,4,144,0,0,0,1,10,1,150,502,3,0,GOOD,For Sale
POLLARE,299000,HOUSE,HOUSE,3,178,0,0,0,1,None,0,None,230,3,0,GOOD,For Sale
MECHELEN,349000,HOUSE,HOUSE,2,100,0,0,0,0,None,1,17,69,2,0,GOOD,For Sale
SINT-KATELIJNE-WAVER,588000,HOUSE,HOUSE,4,159,0,0,0,1,None,0,None,284,3,0,GOOD,For Sale
Zottegem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Herzele,849000,HOUSE,VILLA,4,225,1,0,0,1,50,1,400,1078,4,0,AS_NEW,For Sale
Forest,915000,HOUSE,HOUSE,6,335,1,0,0,1,None,1,200,325,2,0,TO_BE_DONE_UP,For Sale
