Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
Houthulst,180000,APARTMENT,APARTMENT,1,74,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Roeselare,285000,HOUSE,HOUSE,3,155,0,0,0,0,None,0,None,256,None,0,GOOD,For Sale
Mere,574500,HOUSE,HOUSE,3,300,0,0,0,0,None,0,None,401,None,0,JUST_RENOVATED,For Sale
Kortrijk,245000,HOUSE,HOUSE,4,None,0,0,0,0,None,0,None,164,None,0,TO_BE_DONE_UP,For Sale
Ham-sur-Heure-Nalinnes,285312,APARTMENT,APARTMENT,2,98,1,0,0,1,19,1,45,None,3,0,GOOD,For Sale
Deurne (2100),249500,APARTMENT,APARTMENT,1,55,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Deurne (2100),249500,APARTMENT,APARTMENT,1,56,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Oostende,149000,APARTMENT,APARTMENT,2,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Hasselt,149000,APARTMENT,APARTMENT,1,93,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Wezemaal,219000,APARTMENT,DUPLEX,2,80,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
BOOM,429500,HOUSE,TOWN_HOUSE,3,168,0,0,0,1,20,1,65,175,2,0,JUST_RENOVATED,For Sale
Knokke-Zoute,1190000,APARTMENT,APARTMENT,2,105,1,0,0,0,None,0,None,None,3,0,JUST_RENOVATED,For Sale
BERCHEM,237000,APARTMENT,APARTMENT,2,83,0,0,0,1,12,0,None,None,None,0,GOOD,For Sale
Laeken,345000,APARTMENT,GROUND_FLOOR,3,107,0,0,0,1,30,1,85,None,2,0,GOOD,For Sale
Seraing,179000,HOUSE,HOUSE,3,82,0,0,0,1,13,1,65,128,2,0,JUST_RENOVATED,For Sale
ANTWERPEN,199000,APARTMENT,GROUND_FLOOR,1,59,0,0,0,1,7,0,None,None,2,0,JUST_RENOVATED,For Sale
